N,P,K,temperature,humidity,ph,rainfall,target
0.642857143,0.264285714,0.19,0.345886135,0.790266832,0.466263637,0.656457782,20
0.607142857,0.378571429,0.18,0.371444891,0.770632851,0.549480263,0.741674593,20
0.428571429,0.357142857,0.195,0.406853898,0.793976636,0.674218766,0.87571039,20
0.528571429,0.214285714,0.175,0.506901398,0.768751444,0.540507881,0.799905466,20
0.557142857,0.264285714,0.185,0.32437759,0.785625516,0.641291377,0.871230734,20
0.492857143,0.228571429,0.185,0.408391626,0.806217745,0.554978752,0.829332445,20
0.492857143,0.357142857,0.165,0.39837118,0.797693817,0.341514431,0.902154232,20
0.671428571,0.342857143,0.175,0.328612011,0.800664663,0.344285902,0.796708617,20
0.635714286,0.35,0.165,0.450223464,0.80814368,0.494623129,0.755293109,20
0.485714286,0.378571429,0.165,0.413152774,0.80228779,0.440334711,0.722107989,20
0.65,0.342857143,0.175,0.507938384,0.783440192,0.292584208,0.299703407,20
0.642857143,0.292857143,0.185,0.434817401,0.783826053,0.621752914,0.825841264,20
0.557142857,0.378571429,0.195,0.515788092,0.777249495,0.24943158,0.949259137,20
0.664285714,0.364285714,0.155,0.435850234,0.79089825,0.541122585,0.593018694,20
0.671428571,0.321428571,0.16,0.48322138,0.774648144,0.535472209,0.68035382,20
0.428571429,0.307142857,0.215459692,0.443515064,0.77040668,0.550133838,0.757592737,20
0.607142857,0.235714286,0.18,0.366183918,0.799431454,0.426773548,0.92130425,20
0.65,0.214285714,0.17,0.429507112,0.771782303,0.53902411,0.668405557,20
0.55,0.235714286,0.155,0.374164868,0.769147345,0.380879015,0.734128233,20
0.628571429,0.214285714,0.175,0.423352609,0.808754792,0.365327548,0.973912392,20
0.635714286,0.285714286,0.155,0.358663759,0.772442381,0.45685357,0.593809551,20
0.542857143,0.25,0.19,0.468633163,0.803266606,0.243443385,0.75866327,20
0.478571429,0.385714286,0.18,0.376529728,0.778264309,0.39000751,0.693894818,20
